,Folder,File,Mean_Empirical_CRPS,Mean_Parametric_CRPS,PIT_Mean,PIT_Std
0,Data_experiments_benchmark,Benchmark_ARGARCH_Core_12m.csv,0.5197589660856377,0.5161081125605482,0.5496910970985951,0.3818392973416381
1,Data_experiments_benchmark,Benchmark_ARGARCH_Core_3m.csv,0.5546456294155351,0.526504410596441,0.5723264845777118,0.14746153551985827
2,Data_experiments_benchmark,Benchmark_ARGARCH_Core_6m.csv,0.39823092596343573,0.3935117856619695,0.5726244539026194,0.2721466046919523
3,Data_experiments_benchmark,Benchmark_ARGARCH_Core_9m.csv,0.538204968750604,0.5334592175719721,0.5574720725004322,0.32950104757522314
4,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_12m.csv,0.8420133418129291,0.8374198257668026,0.5160080001874563,0.398750892784388
5,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_3m.csv,0.5624107915355783,0.5496049776810084,0.5336062384139713,0.14285936475842953
6,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_6m.csv,0.5313248161845641,0.5188879458283218,0.556458021424635,0.256272234614314
7,Data_experiments_benchmark,Benchmark_ARGARCH_Headline_9m.csv,0.6053706753267089,0.596449043309437,0.5454318213531969,0.29083049893531965
8,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Core_12m.csv,0.29139644184162855,0.28802764998812463,0.6064556905209723,0.24493134050896068
9,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Core_3m.csv,0.5962630461540217,0.5912138795446443,0.5090611292306999,0.41105004104110154
10,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Core_6m.csv,0.29914989363369193,0.2963516317254669,0.5471870015300593,0.3173644688766838
11,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Core_9m.csv,0.6082549368103433,0.602591611020869,0.6408568271809275,0.3604475616460142
12,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Headline_12m.csv,0.5583631228579721,0.5525362137014728,0.4777333668107254,0.2790047621694115
13,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Headline_3m.csv,0.4366201883076778,0.4325298044321196,0.5008623314722407,0.3174092950314183
14,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Headline_6m.csv,0.388369629903698,0.38390531082602947,0.5028841260810069,0.25681601182055475
15,Data_experiments_bvar2,bvar_independent_niw_hierarchical_Headline_9m.csv,0.768525216462527,0.7610151438734007,0.5903653063045772,0.3403922085925895
16,Data_experiments_bvar2,bvar_minnesota_Core_12m.csv,0.4164937881462027,0.4140055317402188,0.581675987510808,0.43748817483374125
17,Data_experiments_bvar2,bvar_minnesota_Core_3m.csv,0.35431960584731004,0.3510092489231403,0.5116936289334989,0.2718531985919814
18,Data_experiments_bvar2,bvar_minnesota_Core_6m.csv,0.4188695963118051,0.41563179355720803,0.5152496947945354,0.43999089335057295
19,Data_experiments_bvar2,bvar_minnesota_Core_9m.csv,0.48598466523658007,0.48093341841596576,0.5529486792496091,0.32682916619888924
20,Data_experiments_bvar2,bvar_minnesota_Headline_12m.csv,0.8226187046013285,0.8177688942195088,0.5082491052173351,0.45224694128451226
21,Data_experiments_bvar2,bvar_minnesota_Headline_3m.csv,0.3708494032329459,0.3669925684838716,0.4880484645099959,0.28057654009132743
22,Data_experiments_bvar2,bvar_minnesota_Headline_6m.csv,0.497229851093676,0.49347974784747983,0.4767923375257917,0.3923997647119219
23,Data_experiments_bvar2,bvar_minnesota_Headline_9m.csv,0.6321135068311076,0.6261615183850121,0.5093816132741666,0.353657732409519
24,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Core_12m.csv,0.45844758805411573,0.4539882764786412,0.5635964421155787,0.30435579003037616
25,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Core_3m.csv,0.35272172056243667,0.34921495628411037,0.512251507092937,0.27968820309426956
26,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Core_6m.csv,0.3683063561797515,0.3650151119609868,0.5308318043265988,0.3574385212303707
27,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Core_9m.csv,0.47674116358144625,0.47158483252003913,0.556871322526272,0.29704202953062786
28,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Headline_12m.csv,0.7110364685698086,0.7040631849483102,0.5143810208820316,0.320132894895325
29,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Headline_3m.csv,0.3727154302047178,0.36889727969323033,0.49366285559315914,0.27079657786203043
30,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Headline_6m.csv,0.4602173124579346,0.4555417324303777,0.5006077535590213,0.30027522436128845
31,Data_experiments_bvar2,bvar_natural_niw_hierarchical_Headline_9m.csv,0.615276798663204,0.6090592425025146,0.5181149304236766,0.294545606954448
32,Data_experiments_qrf2,QRF_Default_Core_12m.csv,0.5411711857599256,0.5340004169511707,0.7120867485721346,0.28943372816736124
33,Data_experiments_qrf2,QRF_Default_Core_3m.csv,0.3203088770961713,0.30960344619889235,0.6389072071709228,0.2536728601696137
34,Data_experiments_qrf2,QRF_Default_Core_6m.csv,0.4110010605136613,0.406899359422911,0.6993286843670067,0.3001989606989906
35,Data_experiments_qrf2,QRF_Default_Core_9m.csv,0.47166984075077617,0.4607053489785356,0.6913114110868577,0.23455626041088717
36,Data_experiments_qrf2,QRF_Default_Headline_12m.csv,0.7863748488195911,0.7667935776473341,0.6100035847836138,0.34093431738974367
37,Data_experiments_qrf2,QRF_Default_Headline_3m.csv,0.39231839592491824,0.3857936715847375,0.590416612024208,0.2855550010147849
38,Data_experiments_qrf2,QRF_Default_Headline_6m.csv,0.5126246754611218,0.5075423190892888,0.6030306576260279,0.3143583436247644
39,Data_experiments_qrf2,QRF_Default_Headline_9m.csv,0.6639372993401745,0.6539560372192071,0.6105636341554233,0.30600996451814044
40,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_12m.csv,0.5440108652162943,0.5351087096018947,0.7067087699841067,0.29107021045954656
41,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_3m.csv,0.3100618622908278,0.30059220872169345,0.6633483327379767,0.24372584538547876
42,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_6m.csv,0.4091420646799404,0.4046887918837571,0.6943514280171538,0.30075870250049846
43,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_9m.csv,0.49978013337550253,0.4892614792613381,0.720093365975734,0.2305556900372341
44,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_12m.csv,0.7811968162684986,0.7626399978243342,0.5996179002160745,0.3402745830682543
45,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_3m.csv,0.39230138016752064,0.38511006949181387,0.6131348352065192,0.27828174976621617
46,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_6m.csv,0.5072582846093616,0.5019501228776827,0.6017052596723083,0.3156018898455006
47,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_9m.csv,0.6675744579794203,0.6578475215799204,0.6138015777613098,0.30724752934893124
48,Data_experiments_qrf2,QRF_Default_PCA_Core_12m.csv,0.42353393825233526,0.41232617311472564,0.6359263456746477,0.27041808872446227
49,Data_experiments_qrf2,QRF_Default_PCA_Core_3m.csv,0.3205158489348889,0.3104294027507128,0.6496342247514252,0.2488022404644244
50,Data_experiments_qrf2,QRF_Default_PCA_Core_6m.csv,0.3590451325109243,0.356139781061557,0.6727823089125347,0.3005644090788899
51,Data_experiments_qrf2,QRF_Default_PCA_Core_9m.csv,0.40894589663306485,0.39433275078571395,0.6559062012560481,0.2187630952710216
52,Data_experiments_qrf2,QRF_Default_PCA_Headline_12m.csv,0.6620933342173815,0.6469168455279339,0.5755096335104325,0.32386615558046244
53,Data_experiments_qrf2,QRF_Default_PCA_Headline_3m.csv,0.3765694480064438,0.3700186644267419,0.5928931290146329,0.279352563918235
54,Data_experiments_qrf2,QRF_Default_PCA_Headline_6m.csv,0.44634139082933,0.43951947622787574,0.5986879992589522,0.2927786994700436
55,Data_experiments_qrf2,QRF_Default_PCA_Headline_9m.csv,0.5706476364215457,0.5603434780177498,0.5890137357445273,0.2709665521450544
